O*NET-SOC Code,Title,Analytical_Thinking,Emotional_Intelligence,Creativity,Manual_Dexterity,AI_Exposure_Index,Skill_Disruption_Index,Labour_Market_Churn,Repetitiveness,Skill_Diversity,Cognitive_Manual_Ratio,Composite_Risk_Score,Automation_Risk,Cluster
11-3031.01,Treasurers and Controllers,0.7110266159695818,0.6257142857142856,0.6233333333333334,0.03846153846153849,0.94,0.97,0.35,0.5,0.26859111493065363,3.640137858271688,0.5509999999999999,Medium,1
11-3031.03,Investment Fund Managers,0.6653992395437263,0.5885714285714287,0.6666666666666666,0.0,0.94,0.97,0.35,0.5,0.2791594068146808,3.8412746618810942,0.538,Medium,1
11-3051.00,Industrial Production Managers,0.6653992395437263,0.7685714285714286,0.5800000000000001,0.4006410256410256,0.94,0.97,0.35,0.5,0.14263515971906654,2.236152483111206,0.5640000000000001,Medium,0
11-3051.01,Quality Control Systems Managers,0.5703422053231939,0.6971428571428572,0.54,0.4006410256410256,0.94,0.97,0.35,0.5,0.10796092354145521,2.006887326915513,0.5760000000000001,Medium,0
11-3051.02,Geothermal Production Managers,0.6653992395437263,0.6957142857142858,0.5,0.4006410256410256,0.94,0.97,0.35,0.5,0.12432830216476456,2.0664320969244594,0.5880000000000001,Medium,0
11-3051.03,Biofuels Production Managers,0.6197718631178707,0.6785714285714287,0.5800000000000001,0.44230769230769224,0.94,0.97,0.35,0.5,0.09407184216860928,1.9933438992691774,0.5640000000000001,Medium,0
11-3051.04,Biomass Power Plant Managers,0.6653992395437263,0.6971428571428572,0.5,0.4006410256410256,0.94,0.97,0.35,0.5,0.12474108101798043,2.0680182687579802,0.5880000000000001,Medium,0
11-3051.06,Hydroelectric Production Managers,0.5703422053231939,0.6957142857142858,0.5800000000000001,0.4006410256410256,0.94,0.97,0.35,0.5,0.10880301043742141,2.04971396642058,0.5640000000000001,Medium,0
11-3061.00,Purchasing Managers,0.5703422053231939,0.8042857142857143,0.7066666666666667,0.0,0.94,0.97,0.35,0.5,0.3118201288113331,4.162589164225972,0.526,Medium,1
11-3071.00,"Transportation, Storage, and Distribution Managers",0.5209125475285171,0.6971428571428572,0.6233333333333334,0.24038461538461536,0.94,0.97,0.35,0.5,0.1736206522434613,2.4870704999199256,0.5509999999999999,Medium,0
11-3071.04,Supply Chain Managers,0.6197718631178707,0.8214285714285715,0.6233333333333334,0.0,0.94,0.97,0.35,0.5,0.3090468473375425,4.129067527501417,0.5509999999999999,Medium,1
11-3111.00,Compensation and Benefits Managers,0.6197718631178707,0.6600000000000003,0.5800000000000001,0.0,0.94,0.97,0.35,0.5,0.270375901810812,3.7195437187966545,0.5640000000000001,Medium,1
11-3121.00,Human Resources Managers,0.6653992395437263,0.9285714285714288,0.79,0.03846153846153849,0.94,0.97,0.35,0.5,0.34367802354749033,4.427374089705878,0.501,Medium,1
11-3131.00,Training and Development Managers,0.5703422053231939,0.822857142857143,0.79,0.19871794871794873,0.94,0.97,0.35,0.5,0.25242992623414817,3.12457887916237,0.501,Medium,1
